code,caption_text
DDFtbiBMijC,"Stars have lined the red carpet for the Fashion Awards at London’s Royal Albert Hall.
 
TV and radio presenter Maya Jama and musician Kojey Radical are hosting the ceremony where designer Tom Ford will be honoured with an Outstanding Achievement Award.
 
Six designers are in the running for designer of the year, which recognises a British or international designer whose work has made a “notable impact on the industry”.
 
Chemena Kamali, John Galliano, Jonathan Anderson, Miuccia Prada, Pieter Mulier, and Rick Owens are all nominated for the top prize.
 
Pictured as follows:
	1.	Nicola Coughlan
	2.	Maya Jama and Kojey Radical
	3.	AJ Odudu
	4.	Rita Ora
	5.	Daisy Ridley 
	6.	Laura Whitmore
	7.	Kit Price
	8.	Tallia Storm 
	9.	Ellie Golding
	10.	Halle Bailey
	11.	Munroe Bergdorf
	12.	Abdulla al Abdulla
	13.	Charli Howard
	14.	Law Roach 
	15.	Omari Douglas 
	16.	Amy Jackson
	17.	Dimitra Petsa

(📸 Getty Images / PA / Reuters)
 
Tap the link in @BBCNews’s bio to see why security removed animal rights activists from the carpet.
 
#FashionAwards #BBCNews"
DDFcJLkMa8W,"Georgia has seen a fourth night of street demonstrations as well as a string of public resignations.
 
They were triggered by the ruling party’s decision to suspend a push to start talks on joining the European Union.
 
Tap the link in @BBCNews’s bio to read more about the unrest.
 
#Georgia #BBCNews"
DDFVh9QMAsd,"“Italian” tomato purees sold by several UK supermarkets appear to contain tomatoes grown and picked in China using forced labour, the BBC has found. 
 
A total of 17 products – from supermarkets including those at Tesco, Asda and Waitrose – are likely to contain Chinese tomatoes, testing commissioned by the BBC World Service shows. 
 
Most Chinese tomatoes come from the Xinjiang region, where production is linked to forced labour by Uyhgur and other largely Muslim minorities. 
 
China denies it forces people to work in the tomato industry and says workers’ rights are protected by law. 
 
All the supermarkets whose products we tested dispute our findings. 
 
Tap the link in @BBCNews’s bio to read more from our investigation. 
 
#BBCNews"
DDFM50cKMhJ,"How did Conor McGregor go from one of Ireland’s most famous athletes to someone “people want nothing to do with”?

McGregor told his millions of social media followers on Tuesday that “the fight game awaits” – but retailers pulled products linked to him from shelves, murals of him were erased and brands announced they had cut ties.

It followed a 12-person jury in Dublin finding McGregor guilty of sexual assault in a civil case brought by Nikita Hand, who accused him of raping her at a Dublin hotel in December 2018. 

She was awarded nearly €250,000 (£208,000) in damages.

In a social media post, McGregor said he would appeal the decision.

Ms Hand’s case was one of several legal issues and controversies that McGregor has faced over the past few years.

Tap the link in @BBCNews’s bio to read more about his career, and how attitudes towards McGregor have changed.
 
(📷 Getty, PA Media, The National Wax Museum Plus)
 
#ConorMcGregor #BBCNews"
DDFFVYNsmw6,"Around 11 million Sudanese people have been made refugees, or displaced within their own country, by Sudan’s brutal war. 
 
The BBC visited a refugee camp in Chad, on Sudan’s western border, to hear from people fleeing Darfur. 
 
Tap the link in @BBCNews’s bio to hear more from the people affected. 
 
#BBCNews"
DDE40ursapI,"Sir Elton John has said he was unable to watch the Devil Wears Prada musical due to losing his eyesight.
 
The pop star wrote the music for the new West End musical and said he “enjoyed listening to it”.
 
But speaking at the star-studded charity gala where the theatre show premiered on Sunday evening, he said: “I haven’t been able to see the performance.”
 
Tap the link in @BBCNews’s bio to find out more about the singer’s condition.
 
#EltonJohn #DevilWearsPrada #BBCNews"
DDEpKiEKLL5,"“You could hear it rumbling and collapsing.”
 
Homes have been evacuated in Merthyr Tydfil, Wales, after a sinkhole opened up on a housing estate.
 
More rain fell over the weekend, just days after Storm Bert caused heavy flooding across Wales.
 
About 30 homes have been evacuated and people are being advised to avoid the area.
 
One resident estimated the hole was between 50ft and 60ft deep.
 
Tap the link in @BBCNewsUK’s bio to find out why sinkholes happen.
 
(Merthyr Tydfil council and Eye in the sky)
 
#Sinkhole #BBCNews"
DDEnBVTqydG,"US President Joe Biden has issued an official pardon for his son Hunter, who was set to face sentencing this month on federal felony gun and tax convictions.

Biden had previously said he would not pardon his son or commute his sentence, but in a statement the president said his son had been ""unfairly persecuted"" and added ""politics has infected this process and it led to a miscarriage of justice"".

Hunter Biden pleaded guilty to tax charges earlier in September, and was found guilty of being an illegal drug user in possession of a gun in June - becoming the first child of a sitting president to be a convicted of a crime.

President-elect Donald Trump called the pardon an ""abuse and miscarriage of justice"", while some Republicans have branded Joe Biden ""a liar"".

Tap the link in @BBCNews’s bio to find out other times US presidents have pardoned members of their family.

(📷 Getty)

#HunterBiden #BBCNews"
DDEaJ88sJgP,"Losing your mind looking at memes?
 
The dictionary has a word for that. Brain rot has become the Oxford University dictionary word of the year.
 
The popularity of the word is a “symptom of the time we’re living in”, psychologist and Oxford University Professor Andrew Przybylski said.
 
It is a term that captures concerns about the impact of consuming excessive amounts of low-quality online content, especially on social media. 
 
Tap the link in @BBCNews’s bio to find out the meaning of the other words in the shortlist.
 
#BrainRot #BBCNews"
DDC-g-asYUF,"Tamuna Museridze has helped reunite hundreds of people with their biological parents.

She ended up uncovering a baby trafficking scandal in Georgia while searching for her own birth parents.

But she was never able to find them - until now.

Tap the link in @BBCNews’s bio to read about the people she’s helped. 

#BBCNews"
DDCzCORsIjx,"A statue of late President Bashar al-Assad’s brother, Bassel, has been toppled by armed men in Aleppo, Syria’s second largest city.
 
It comes as Russia, an ally of Assad, carried out “a series of air strikes” in the country on Sunday as rebels advanced and seized the city.
 
Tap the link in @BBCNews’s bio to read more about the conflict.
 
#Aleppo #Syria #BBCNews"
DDCwBzMsNjU,"Six years ago, medical cannabis became legal in the UK.
 
Now, there are more than 30 clinics currently prescribing medical cannabis to people in the nation.
 
Tap the link in @BBCNews’s bio to read more about the effectiveness of the drug. 
 
#MedicalCannabis #BBCNews"
DDCmr97RJrh,"Bob Bryar, former drummer for American rock band My Chemical Romance (MCR), has died aged 44 at his Tennessee home, according to US media.
 
He helped write songs for acclaimed record The Black Parade, deemed a ""defining album"" by critics.
 
Bryar was the longest-serving drummer for the group, playing with the band from 2004 to 2010.
 
The ""band asks for your patience and understanding as they process the news of Bob’s passing,"" a spokesperson for the group told US media.
 
Head to @BBCNews's bio to read why the drummer officially retired from the music scene in 2021. 
 
(📷 Getty Images)
 
#MCR #BBCNews"
DDCdcp_BrFd,"The Syrian government has lost control of its second city, Aleppo, for the first time since the country’s civil war began in 2011.
 
Led by Islamist militant group Hayat Tahrir al-Sham (HTS), opposition forces have seized the city and are pushing south, observers have said.
 
President Bashar al-Assad said he vowed to ""defend [Syria's] stability and territorial integrity in the face of all terrorists and their backers"".
 
Russia, an ally of Assad, has carried out ""a series of air strikes"" in the country early on Sunday.
 
Tap the link in @BBCNews’s bio for the latest on the conflict.
 
#BBCNews"
DDCV7qniMPL,"Sex workers can now have regular job contracts in Belgium.
 
As a result, they will be entitled to health insurance, pensions, sick days and maternity leave.
 
It's the first country in the world to pass a law to give labour rights to sex workers.
 
Tap the link in @BBCNews's bio to read more about the change.
 
#Belgium #BBCNews"
DDCOCGlMQws,"The Russian Defence Minister has made an unannounced visit to Pyongyang. 
 
It comes as Ukraine claims that North Korean troops are in Russia and ready to support Russia’s military. 
 
It’s suggested tens of thousands of North Korean troops could be deployed. 
 
Here’s what we know.
 
Tap the link in @BBCNews’s bio to find out the latest on the War in Ukraine. 
 
#BBCNews"
DDCAFLRRpaf,"The shortlist for the Wildlife Photographer of the Year People’s Choice Award 2024 has been announced.

They include pictures of all sorts of wildlife - from a bird protecting its territory to a Surinam golden-eyed tree frog calling for a mate.

The contest aims to show off the Earth's wildlife in all its glory but also show some of the threats and challenges animals are facing. 

Tap the link in @BBCNews’s bio to read more about the stories behind the images.

( 📷 Wildlife Photographer of the Year / 1. Noam Kortler 2. Bence Máté 3. Vincent Premel 4. Nora Milligan 5. Mark Williams 6. Aaron Baggenstos)

#Wildlife #WildlifePhotography #BBCNews"
DDAW17VRSJs,"Gotta UNWRAP them all! 
 
Thirty Pokémon super-fans have helped break the world record for longest unboxing livestream.
 
Hundreds of packs were unboxed to reveal more than 20,000 cards.
 
Streamers from the UK, France, Germany, Italy and Spain took part to break the Guinness World Record.
 
""It's been an incredible 24 hours of pack opening,"" a representative from the Pokémon Company said.
 
Tap the link in @BBCNews's bio to find out what will happen to all the cards. 
 
(📸 PA)
 
#Pokémon #GuinnessWorldRecord #BBCNews"
DDAQihdM4XA,"Cate Blanchett has revealed what worries her most about AI.
 
She was promoting her new film Rumours - an apocalyptic comedy about a group of world leaders trapped in a forest.
 
Tap the link in @BBCNews’s bio to find out what else Cate said in the interview.
 
#BBCNews"
DDAGvyEs1Yj,"Nearly nine million Brits watch porn every week, research suggests.
 
But what happens when porn takes over your life?
 
Tap the link in @BBCNews’s bio to watch the full episode of Sex After Porn Obsession on BBC iPlayer.
 
#BBCNews"
DC_4JsBMe6h,"Australia has warned travellers not to drink some liquors in Laos, following a number of deaths linked to suspected methanol poisoning.
 
Tourists have been warned against drinking Tiger Vodka and Tiger Whisky by the Australian government “due to serious safety concerns”.
 
Tap the link in @BBCNews’s bio to read more about the suspected methanol poisoning.
 
#Laos #Australia #BBCNews"
DC_rQLJsD1i,"Mass protests have continued for a second consecutive night in Georgia, sparked by the government’s decision to suspend accession talks with the European Union.
 
In the capital, Tbilisi, police used water cannon, tear gas, and rubber bullets against crowds gathered outside parliament.
 
Tap the link in @BBCNews’s bio to read more about why the government suspended talks with the EU.
 
#Georgia #BBCNews"
DC_eSuJsPuW,"“It’s much better than other bananas, it’s really quite good.”
 
Crypto boss Justin Sun outbid six others last week to claim Maurizio Cattelan’s infamous 2019 work Comedian - a banana duct-taped to a wall - at Sotheby’s auction house in New York.
 
On Friday, he ate the $6.2m banana at a news conference in Hong Kong.
 
Tap the link in @BBCNews’s bio to read about the “dumb questions” he confessed he had about the artwork.
 
#Art #Banana #BBCNews"
DC-OWVQMyU9,"Uniqlo’s parent company has denied using Xinjiang cotton.
 
It is the first time Fast Retailing’s chief executive Tadashi Yanai has directly addressed the contentious issue.
 
Tap the link in @BBCNews’s bio to read more on the controversial fabric.
 
#Uniqlo #China #BBCNews"
DC-KxClqtk0,"""We are just waiting for the police to come on board.""
 
Delta Airlines has said it is ""conducting an exhaustive investigation"" after a woman managed to fly from New York to Paris without a boarding pass. 
 
She was taken to custody upon arrival in France.
 
Tap the link in @BBCNews's bio to read more from a passenger who was on the plane. 
 
#NewYork #BBCNews"
DC-GTuxND51,"Israel is creating a new military dividing line in Gaza.
 
Satellite images studied by BBC Verify appear to show this new line  separating off the far north of the strip.
 
Analysts said the images suggest Gaza is being split into zones to make it easier to control.
 
An IDF spokesperson told the BBC it was ""targeting terrorist operatives and infrastructure"" in north Gaza.
 
Tap the link in @BBCNews's bio to find out more about this partition. 
 
#Israel #Gaza #BBCNews"
DC-CMBQtRo8,"Rebel forces in Syria claim they have entered the country's second-largest city, Aleppo, in the biggest offensive against the government in years.
 
The Syrian government said reinforcements have now reached Aleppo and it is driving the rebels out.
 
Video posted on a channel affiliated with the Islamist militant group Hayat Tahrir al-Sham appears to show their fighters in vehicles inside the city. BBC Verify has geolocated the footage to a western suburb of the city.
 
Tap the link @BBCNews’s bio to find out more about what is happening Syria.
 
#Syria #Aleppo #BBCNews"
DC99ooNshCM,"MPs have voted in favour of a historic bill which could allow assisted dying in England and Wales.
 
The bill passed the first stage in the Commons, but will be followed by months of parliamentary activity before it becomes a law.
 
But how does assisted dying work in other countries?
 
Tap the link in @BBCNews’s bio to find out how many millions of people live in countries which have legalised assisted dying.
 
#AssistedDying #BBCNews"
DC9vQ52scCp,"“Dangerous” with “barbaric conditions.”
 
That’s how US District Judge Gary J Brown previously described the Metropolitan Detention Center in Brooklyn - where Diddy is currently in jail, awaiting trial on charges of racketeering and sex trafficking.

He has entered a plea of not guilty.

 
But there’s a special wing for high profile prisoners - so what’s life like for Diddy there?
 
Tap the link in @BBCNews’s bio to listen to the full episode of Diddy on Trial.
 
#Diddy #BBCNews"
DC9lkx0snrl,"UK MPs have backed proposals to legalise assisted dying in England and Wales, which could lead to a change in the law.
 
So what happens next before anything changes?
 
Tap the link in @BBCNews’s bio to read more about the vote.
 
#AssistedDying #BBCNews"
DC9hhOSKBIk,"MP Dame Meg Hillier said her teen daughter’s illness showed her “what good medicine can do” as it can help patients have comfort in end-of-life care instead of assisted dying.
 
She was speaking as part of the debate over a bill to legalise assisted dying in England and Wales for terminally ill adults.
 
The proposed law has now passed its initial vote but will be followed by months of debate and alterations before before it might pass into law.
 
Tap the link in @BBCNewsUK’s bio to follow reaction live.
 
#AssistedDying #BBCNews"
DC9Yta7K0vQ,"MPs have voted in favour of a bill to legalise assisted dying in England and Wales for terminally ill adults.
 
The proposed law has passed its initial vote but will be followed by months of debate and alterations before before it might pass into law.
 
Tap the link in @BBCNewsUK’s bio to follow reaction live.
 
#AsisstedDying #England #Wales #BBCNews"
DC9OqNNRPFI,"Chart-topping K-pop group NewJeans have said they are leaving their agency after accusing it of ""mistreatment"" and ""manipulation"".
 
The five-member girl band announced their departure from Ador, a subsidiary of powerhouse label Hybe, at a press-conference.
 
This dispute is the latest development in a long-running conflict between former NewJeans producer Min Hee-Jin and Hybe's chairman Bang Si-hyuk, which has made headlines in South Korea.
 
One of the group's members, Hanni, has alleged that she suffered workplace harassment while working with the label, saying that there was ""mistreatment"" of the band and its staff by the label.
 
She also added that the group had experienced ""deliberate miscommunications and manipulation in multiple areas"".
 
Ador maintains that its contract with NewJeans remains valid as it has not violated its duty and has asked the group to ""continue their activities"" with the agency.
 
""A unilateral claim that trust has been broken does not constitute valid grounds for termination of a contract,"" Ador said.
 
Tap the link in @BBCNews's bio to see how much NewJeans would have to pay to terminate their Ador contract early.

(📷 Getty)
 
#NewJeans #KPop #BBCNews"
DC9AJVoqtIG,"Maddie was diagnosed with an incurable cancer aged 18. 
 
Knowing it’s likely to kill her, the 27-year-old supports the idea of assisted dying in the UK, saying it would give her a “peaceful and dignified end”.
 
She will be awaiting the result of today’s debate and vote on the topic in UK parliament. 
 
Under the proposed bill, people over 18 living in England and Wales with less than six months to live would be given the right to end their own life.
 
Tap the link in @bbcnewsuk’s bio to follow the debate live.
 
#AssistedDying #TerminalIllness #BBCNews"
DC8_RabMn2X,"The world has had its first look inside the restored Notre-Dame cathedral in Paris.
 
One of the most famous buildings in the world - the gothic jewel of the French capital - closed in 2019 when it caught fire, causing major damage and resulting in a repair cost of €700m (£582m).
 
An estimated 2,000 masons, carpenters, restorers, roofers, foundry-workers, art experts, sculptors and engineers worked on the project to restore the building over the last five years.
 
French President Emmanuel Macron was one of a small group of officials and press to be the first to see the completed restoration.
 
Tap the link in @BBCNews’s bio to find out when the public will be able to see it for themselves.
 
(📷 Getty)
 
#NotreDame #Paris #BBCNews"
DC80ItOMiMQ,"“It’s a little chilly, a little bit wet.”

The wet and cold weather didn’t stop crowds from attending the 100th Macy’s Thanksgiving parade in New York.

Classic characters were made into balloons and floats inspired by the city dominated the procession, with a special appearance as always, from Santa himself.

Tap the link in @BBCNews’s bio to see how the event was prepared.

#Thanksgiving #Macys #BBCNews"
DC8qHvJRe9B,"""Those are very difficult conditions for really anyone to survive in.""
 
Authorities in Canada were left stunned after a man lost in the wilderness for more than five weeks was found alive.
 
Sam Benastick was reported missing on 19 October after failing to return from a 10-day hike and fishing trip in the northern Rocky Mountains.
 
Officials called off the search for Sam later in the month as temperatures in the region dropped to around -20C (-4F) at times.
 
After he was found, Sam told police that he stayed in his car for a couple of days and then walked to a creek where he camped for 10 to 15 days. 
 
Eventually, Sam made his way to a valley where he flagged down his rescuers.
 
""Even someone with quite a bit of experience would find that challenging,"" said the Prince George Search and Rescue search manager.
 
Tap the link in @BBCNews's bio to read more about how Sam survived.
 
(📷 Sam Benastick, Getty)
 
#BritishColumbia #Canada #BBCNews"
DC7mQXFASOa,"Michael Sullivan was awarded $13m in compensation after spending more than 27 years in prison for a crime he didn’t do.

He said the money will ""never make up the years"" he lost, as his mother and four siblings died while he was in jail.

But Michael won’t receive all the money he was awarded, as Massachusetts regulations cap rewards for wrongful convictions at $1m.

Tap @BBCNews’s link in bio to watch more of Michael’s interview.

#MichaelSullivan #Massachusetts #BBCNews"
DC7iGWAvbJE,"“We’re thankful for zero gravity!” 
 
Astronauts Don Pettit, Nick Hague, Sunita Williams, and Barry “Butch” Wilmore have showed off their Thanksgiving meal aboard the International Space Station.
 
Tap the link in @BBCNews’s bio to find out how long the crew have been in space.
 
#Nasa #Thanksgiving #BBCNews"
DC7e_ofMAyl,"Mexico's President Claudia Sheinbaum has contradicted US President-elect Donald Trump's claim the two struck a deal to ""stop migration through Mexico"".
 
After a phone call on Wednesday, Trump posted online: “She has agreed to stop migration through Mexico, and into the United States, effectively closing our Southern Border.”
 
Sheinbaum responded quickly that she had reiterated Mexico's position was not to close borders, but to address migration while respecting human rights.
 
The Mexican president initially posted on X saying: “We discussed Mexico's strategy on the migration phenomenon and I shared that [migrant] caravans are not arriving at the northern border because they are being taken care of in Mexico.”
 
Following Trump's post on Truth Social, Sheinbaum added she had “explained to him [Trump] the comprehensive strategy that Mexico has followed to address the migration phenomenon, respecting human rights.
 
“We reiterate that Mexico's position is not to close borders but to build bridges between governments and between peoples.""
 
Tap the link in @BBCNews's bio to see why Trump's proposed tariffs have sparked migration talks in Mexico and Canada.
 
(📷 Getty)
 
#DonaldTrump #Mexico #Migration #BBCNews"
DC7amdIs__t,"The iconic Notre-Dame Cathedral in Paris is getting ready to reopen next month after more than five years of closure.

The cathedral - one of the most famous buildings in the world - closed in 2019 when it caught fire, causing major damage and resulting in a repair cost of €700m (£582m).

An estimated 2,000 masons, carpenters, restorers, roofers, foundry-workers, art experts, sculptors and engineers worked on the project.

""People will discover the splendour of the cut stone, [which is] of an immaculate whiteness such as has not been seen in the cathedral maybe for centuries"", an insider of the Elysée closely involved with the restoration said.

An official ""entry"" into the cathedral will take place on 7 December and the first Catholic mass will happen the next day.

Tap the link in @BBCNews’s bio to find out how the cathedral was restored.

(📸 Getty Images, Reuters)

#NotreDame #Paris #BBCNews"
DC7YW9kNu7h,"Two judges previously denied his release from custody, primarily due to concerns about potential witness tampering.

Combs is being held in jail in Brooklyn, New York, charged with racketeering conspiracy, sex trafficking, and transportation for prostitution.

He has entered a plea of not guilty and has also denied more than two dozen sexual assault accusations lodged in a flurry of civil lawsuits.

Tap the link in @BBCNews's bio to listen to the full episode of Diddy on Trial.

#SeanCombs #Diddy #BBCNews"
DC7Jx67xR-u,"A man who unknowingly sold his home to someone on the FBI's most wanted list has said it was an ideal location ""if you wanted to keep your head down"".

Daniel Andreas San Diego paid £425,000 for the house near Llanrwst in north Wales in August 2023 using the name Danny Webb.
 
Mr San Diego - who had a $250,000 (£199,000) bounty on his head - was arrested after 21 years on the run earlier this week.
 
Mr San Diego is suspected to be behind a double bombing in San Francisco in 2003.
 
""He was quite excited because there was a big woodland at the back he was into his mountain biking and that's what sold it to him, apparently,"" said former owner Aled Evans.
 
""It sounded like the ideal place he wanted - but he wanted it for other reasons.""
 
Tap the link in @BBCNews's bio to see how Aled found out he had sold his home to a member of the FBI's most wanted.
 
(📷 Aled Evans, FBI)
 
#FBI #MostWanted #Crime #BBCNews"
DC66ZpdsSkS,"Is it a bird? Is it plane? Well, both actually!
 
Esther Keim has been delivering airborne frozen turkeys to her remote neighbours since once of them told her that squirrel for Thanksgiving did not quite satisfy three diners.
 
Tap the link in @BBCNews’s bio to see how many turkey’s Esther and her friend air drop every year.

#Thanksgiving #Turkey #BBCNews"
DC6zDZ8xDqv,"Australia will ban children under 16 from using social media, after its Senate approved the world's strictest laws.
 
The ban will them from using and creating social media accounts - but which platforms will fall under the ban is yet to be specified.
 
This is not the first attempt globally to limit children's social media use, but it involves the highest age limit set by any country.
 
Gaming and messaging platforms are exempt, as are sites that can be accessed without an account.
 
Those under-16s who already have accounts or have parental permission to be on social media will also be exempt.
 
The government says will it rely on some form of age-verification technology to implement the restrictions, and options will be tested ahead of the ban coming into effect.
 
Tap the link in @BBCNews's bio to see how some social media companies have reacted to the ban.
 
#SocialMedia #Ban #Australia #BBCNews"
DC6ebb2RKdJ,"Former British army soldier Daniel Khalife has been found guilty of spying for Iran.
 
Khalife, who escaped prison while awaiting trial, collected information useful to an enemy and had a list of special forces soldiers.
 
He was cleared of perpetrating a bomb hoax at his army barracks.
 
Prosecutors said Khalife played a ""cynical game"" after he contacted a man linked to Iranian intelligence soon after joining the army before later telling MI6 he wanted to be a double agent.
 
They added that he collected sensitive information that posed a real danger in the wrong hands.
 
However, his lawyer Gul Nawaz Hussain KC claimed his double agent plot was ""hapless"", more ""Scooby-Doo"" than ""007”.
 
Tap the link in @BBCNews's bio to read more about how Khalife was sent by an Iranian contact to collect money left in a dog poo bag.
 
(📷 Met Police)
 
#DanielKhalife #London #BBCNews"
DC6baPLx3tf,"Russia's latest strike on Ukraine was in response to Ukraine's attacks with UK and US weapons last week, President Vladimir Putin has said.
 
Russia is selecting targets in Ukraine that could include decision-making centres in Kyiv, he added.
 
It's believed Russia used 90 missiles and 100 drones in its latest attack which included strikes on energy infrastructure.
 
More than one million people are currently without power, as energy suppliers have taken preventative safety measures, with several nuclear power units disconnected by Ukraine as a safety precaution.
 
This is the second such attack in November. It unfolded over several hours with waves of drones and missiles.
 
Ukraine's President Volodymyr Zelensky called it a ""vile escalation"", saying cluster munitions had been used.
 
Tap the link in @BBCNews's bio to follow events live.
 
(📷 Getty Images)
 
#Ukraine #Russia #BBCNews"
DC42OLmtZDl,"An NFL player has had his traffic ticket dropped, two months after he was handcuffed outside his home stadium. 
 
Miami Dolphins' Tyreek Hill was accused of careless driving and not wearing a seatbelt, but both citations have since been dismissed after the officer who wrote the ticket failed to show up in court. 
 
Tap the link in @BBCNews's bio to see more of the police bodycam footage. 
 
#TyreekHill #Miami #BBCNews"
DC4vbGisG2r,"“In just one week it feels like it's turned into a winter wonderland.”
 
South Korea’s capital Seoul has recorded its heaviest November snowfall since records began over 100 years ago.
 
The city was covered with at least 16cm of snow on Wednesday, beating the city's previous record of 12.4cm from November 1972.
 
But, while some have taken to the streets to enjoy the weather, at least one person is reported to have died in a weather-related traffic accident, and there has been travel disruption across South Korea.
 
Tap the link in BBCNews’s bio to find out what caused the heavy snow.
 
(📸 Getty Images, EPA)
 
#Seoul #SouthKorea #BBCNews"
DC4laJLsPAR,"Leaked CCTV from inside a school has shown autistic children being shoved into a padded room, thrown to the floor, or restrained by the neck. 
 
The school in north-east London says new leadership found the footage after the rooms had been shut and shared it with the police. 
 
Six families of the pupils seen in the footage from Whitefield School have agreed for the BBC to show the footage, to reveal the scale and severity of the trauma their children experienced. 
 
Tap the link in @BBCNews’s bio to read more from our investigation. 
 
#bbcnews"
